  32   2 1.00-30 2.64-02 1.97-02 1.69-02 1.53-02 1.43-02 1.41-02 1.42-02 1.47-02 1.51-02 1.55-02 1.59-02 1.61-02 1.62-02 1.63-02
  33   2 8.81+09 4.17-03 3.80-03 3.63-03 3.51-03 3.41-03 3.42-03 3.61-03 4.34-03 5.37-03 6.79-03 9.04-03 1.09-02 1.29-02-3.17-03
  34   2 8.82+09 1.30-02 1.16-02 1.10-02 1.06-02 1.03-02 1.03-02 1.08-02 1.30-02 1.61-02 2.04-02 2.71-02 3.27-02 3.86-02-9.52-03
  35   2 8.83+09 2.27-02 1.98-02 1.86-02 1.78-02 1.72-02 1.72-02 1.81-02 2.17-02 2.69-02 3.40-02 4.52-02 5.45-02 6.44-02-1.59-02
  36   2 1.00-30 2.38-03 1.71-03 1.43-03 1.24-03 1.02-03 8.56-04 6.74-04 4.38-04 2.87-04 1.75-04 8.31-05 4.50-05 2.36-05 0.00+00
  37   2 1.18-01 5.99-03 5.88-03 5.89-03 5.97-03 6.13-03 6.26-03 6.44-03 6.84-03 7.29-03 7.77-03 8.29-03 8.54-03 8.68-03 8.83-03
  38   2 2.50-03 9.92-03 9.77-03 9.81-03 9.95-03 1.02-02 1.04-02 1.07-02 1.14-02 1.21-02 1.29-02 1.38-02 1.42-02 1.44-02 1.47-02
  39   2 5.16-01 1.36-02 1.36-02 1.37-02 1.39-02 1.43-02 1.46-02 1.50-02 1.60-02 1.70-02 1.82-02 1.94-02 2.00-02 2.03-02 2.06-02
  40   2 1.57+03 5.45-03 5.55-03 5.60-03 5.59-03 5.49-03 5.35-03 5.22-03 5.13-03 5.14-03 5.21-03 5.34-03 5.42-03 5.49-03 5.61-03
  41   2 1.11+03 7.37-03 7.41-03 7.40-03 7.30-03 7.01-03 6.64-03 6.22-03 5.73-03 5.50-03 5.40-03 5.40-03 5.43-03 5.47-03 5.55-03
  42   2 1.57+03 9.83-03 1.00-02 1.01-02 1.01-02 9.88-03 9.64-03 9.39-03 9.23-03 9.26-03 9.40-03 9.63-03 9.78-03 9.90-03 1.01-02
  43   2 1.39-02 1.24-03 1.20-03 1.14-03 1.06-03 9.09-04 7.83-04 6.64-04 5.47-04 4.97-04 4.74-04 4.66-04 4.64-04 4.61-04 4.49-04
  44   2 7.75-03 1.39-03 1.34-03 1.27-03 1.17-03 9.90-04 8.31-04 6.72-04 5.04-04 4.22-04 3.74-04 3.43-04 3.32-04 3.26-04 3.22-04
  45   2 4.61+02 7.02-03 6.91-03 6.78-03 6.57-03 6.06-03 5.44-03 4.68-03 3.69-03 3.11-03 2.72-03 2.46-03 2.37-03 2.33-03 2.30-03
  46   2 1.39-02 1.95-03 1.89-03 1.80-03 1.66-03 1.43-03 1.23-03 1.04-03 8.61-04 7.80-04 7.39-04 7.16-04 7.09-04 7.06-04 7.06-04
  47   2 6.16-03 1.34-03 1.29-03 1.22-03 1.12-03 9.44-04 7.85-04 6.26-04 4.53-04 3.67-04 3.15-04 2.80-04 2.68-04 2.62-04 2.56-04
  48   2 2.77-01 8.82-03 8.62-03 8.46-03 8.17-03 7.41-03 6.44-03 5.17-03 3.37-03 2.21-03 1.35-03 6.65-04 3.86-04 2.30-04 5.32-05
